component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
dropped352	Edge	106.9536079196	0.0003544378	0.6930964371	False
dropped353	Edge	106.9039412535	0.0003541087	0.6934505458	False
dropped354	Edge	106.8027743222	0.0003534388	0.6938039846	False
dropped355	Edge	106.7770767370	0.0003532687	0.6941572533	False
dropped356	Edge	106.6967050642	0.0003527371	0.6945099904	False
dropped357	Edge	106.6743363685	0.0003525892	0.6948625797	False
dropped358	Edge	106.5522072378	0.0003517824	0.6952143620	False
dropped359	Edge	106.5138384173	0.0003515291	0.6955658911	False
dropped360	Edge	106.4761356588	0.0003512802	0.6959171713	False
dropped361	Edge	106.4105549148	0.0003508477	0.6962680190	False
dropped362	Edge	106.3160356360	0.0003502246	0.6966182436	False
dropped363	Edge	106.3038715412	0.0003501445	0.6969683881	False
dropped364	Edge	106.2482678104	0.0003497783	0.6973181664	False
dropped365	Edge	106.1670163531	0.0003492435	0.6976674100	False
dropped366	Edge	106.0914586685	0.0003487466	0.6980161566	False
dropped367	Edge	105.9982789758	0.0003481343	0.6983642909	False
dropped368	Edge	105.9370035611	0.0003477319	0.6987120228	False
dropped369	Edge	105.8701152380	0.0003472929	0.6990593157	False
dropped370	Edge	105.8282219390	0.0003470181	0.6994063338	False
dropped371	Edge	105.8156579829	0.0003469357	0.6997532695	False
dropped372	Edge	105.7126870991	0.0003462608	0.7000995304	False
dropped373	Edge	105.6449056903	0.0003458169	0.7004453473	False
dropped374	Edge	105.6264296101	0.0003456960	0.7007910433	False
dropped375	Edge	105.5732625072	0.0003453481	0.7011363914	False
dropped376	Edge	105.5490192396	0.0003451895	0.7014815809	False
dropped377	Edge	105.4575820573	0.0003445917	0.7018261726	False
dropped378	Edge	105.3486554240	0.0003438802	0.7021700528	False
dropped379	Edge	105.3194872294	0.0003436898	0.7025137425	False
dropped380	Edge	105.2439182271	0.0003431968	0.7028569393	False
dropped381	Edge	105.1681376571	0.0003427027	0.7031996420	False
dropped382	Edge	105.1390953146	0.0003425134	0.7035421554	False
dropped383	Edge	105.1108818537	0.0003423296	0.7038844851	False
dropped384	Edge	105.0539535770	0.0003419589	0.7042264440	False
dropped385	Edge	105.0065615314	0.0003416505	0.7045680945	False
dropped386	Edge	104.9464995045	0.0003412598	0.7049093543	False
dropped387	Edge	104.8759088097	0.0003408008	0.7052501551	False
dropped388	Edge	104.8556677867	0.0003406693	0.7055908244	False
dropped389	Edge	104.7867778057	0.0003402218	0.7059310462	False
dropped390	Edge	104.7201098528	0.0003397890	0.7062708352	False
dropped391	Edge	104.6702242130	0.0003394654	0.7066103005	False
dropped392	Edge	104.6379070608	0.0003392558	0.7069495563	False
dropped393	Edge	104.5655142226	0.0003387865	0.7072883428	False
dropped394	Edge	104.5441165901	0.0003386479	0.7076269907	False
dropped395	Edge	104.4375113087	0.0003379576	0.7079649483	False
dropped396	Edge	104.3712603003	0.0003375289	0.7083024772	False
dropped397	Edge	104.3488977276	0.0003373843	0.7086398615	False
