edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23
0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
-0.0051503988	0.0076341207	-0.0088813405	0.0214333065	-0.0156595838	0.0127879969	-0.0194903977	-0.0176404165	0.0014067549	-0.0125114630	0.0154056606	-0.0122209366	0.0205008528	-0.0174030330	0.0213124791	-0.0005901011	0.0087176642	0.0066113722	-0.0214309369	-0.0065309842	0.0082225556	-0.0114395151	0.0183675264	-0.0068500583
-0.0060469549	-0.0015117236	-0.0018418427	0.0133901071	-0.0158453084	-0.0010456703	-0.0092435795	-0.0234971933	0.0196533910	-0.0262687689	-0.0333188058	0.0014465010	0.0130671253	0.0034784480	0.0225754874	0.0231109501	0.0071100290	-0.0069191361	-0.0064786075	0.0283577018	-0.0245901717	-0.0150752353	-0.0146695418	0.0135093558
0.0038551951	-0.0180448664	0.0061534278	0.0014448466	-0.0003073859	-0.0127993821	0.0158077399	-0.0388079207	0.0513105125	-0.0127094611	-0.0075814042	0.0026100447	-0.0277354012	-0.0102222357	-0.0058844608	0.0019150599	0.0307080314	-0.0036469401	0.0260868979	-0.0121179672	0.0296595879	-0.0130798283	-0.0327432178	0.0010481378
-0.0032249883	0.0023785285	-0.0107820876	0.0130130161	-0.0283446515	-0.0035160697	-0.0090804119	-0.0312048417	0.0186867839	-0.0217819250	0.0172019066	-0.0207020814	0.0185497084	0.0037838754	0.0271674624	0.0040586434	-0.0157262944	0.0403841955	-0.0130673131	0.0033973122	0.0314866629	-0.0000054353	-0.0340184532	0.0033185916
-0.0132094827	0.0020402949	-0.0081410692	0.0148504674	-0.0213619773	-0.0063559198	-0.0184946124	-0.0290873075	0.0144693011	-0.0279437953	-0.0330213780	0.0064338390	0.0000048564	0.0032385976	0.0169412402	0.0041569589	-0.0102510741	0.0408895929	0.0014390103	0.0302962052	-0.0216729497	-0.0017200138	-0.0292197072	0.0058892688
0.0001101561	-0.0157476391	0.0059971808	0.0090185982	0.0031358593	0.0041430050	-0.0030860856	-0.0344634530	0.0401806755	-0.0189613139	0.0126156263	-0.0118782162	-0.0361360410	0.0060614399	-0.0105904985	0.0061889709	0.0235447971	0.0232217240	0.0355347849	0.0396598422	-0.0106470954	-0.0137080929	-0.0424455435	0.0028174829
0.0080918137	-0.0063318496	-0.0023523175	0.0155775503	-0.0044162590	0.0296424223	-0.0166762331	-0.0230408811	0.0103137039	-0.0047289057	0.0138679333	-0.0016233327	0.0339292979	-0.0134818406	-0.0089677156	-0.0221668787	0.0224275705	0.0411672016	0.0184951441	0.0016668415	0.0238989086	0.0094992885	-0.0279927401	-0.0027450692
-0.0041866243	0.0043549233	-0.0069996678	0.0196386477	-0.0058883991	0.0319264567	-0.0294277687	-0.0158231984	-0.0042715209	-0.0272820488	-0.0258414809	0.0026168754	-0.0036142421	-0.0049772074	-0.0025249403	-0.0023875054	-0.0154549400	0.0394665794	-0.0292705830	0.0240765098	-0.0253671296	0.0069721185	-0.0173157598	0.0116908781
-0.0007917579	-0.0112490822	0.0069757129	0.0120295218	0.0192703952	0.0263718219	-0.0165999556	-0.0266518573	0.0290859568	-0.0192417421	0.0121984333	-0.0127405368	-0.0310556844	-0.0078395880	-0.0268013659	0.0059205819	0.0456470869	0.0083422936	0.0231098384	0.0175566189	-0.0079786891	-0.0063246084	-0.0165224190	0.0203394004
