component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
edge_comp_00	Edge	1630.9944272665	0.0791332348	0.0791332348	True
edge_comp_01	Edge	1521.2832804379	0.0688452766	0.1479785115	True
edge_comp_02	Edge	1220.6920198805	0.0443267791	0.1923052906	True
edge_comp_03	Edge	1039.4470196405	0.0321409480	0.2244462386	True
edge_comp_04	Edge	951.4818392437	0.0269311545	0.2513773931	True
edge_comp_05	Edge	816.9931322201	0.0198559548	0.2712333479	True
edge_comp_06	Edge	806.0025585179	0.0193253250	0.2905586729	True
edge_comp_07	Edge	780.6634093131	0.0181293241	0.3086879970	True
edge_comp_08	Edge	758.7866465390	0.0171274743	0.3258154713	True
edge_comp_09	Edge	667.4614084582	0.0132527586	0.3390682298	True
edge_comp_10	Edge	657.9517280442	0.0128778105	0.3519460403	True
edge_comp_11	Edge	635.2820715446	0.0120056911	0.3639517313	True
edge_comp_12	Edge	609.0555156192	0.0110348828	0.3749866142	True
edge_comp_13	Edge	594.0634400576	0.0104983154	0.3854849296	True
edge_comp_14	Edge	570.1086314345	0.0096687248	0.3951536543	True
edge_comp_15	Edge	516.1117651708	0.0079239456	0.4030775999	True
edge_comp_16	Edge	477.6134498938	0.0067858938	0.4098634937	True
edge_comp_17	Edge	467.4965720106	0.0065014590	0.4163649527	True
edge_comp_18	Edge	453.9528246057	0.0061302108	0.4224951635	True
edge_comp_19	Edge	449.6241474072	0.0060138587	0.4285090222	True
edge_comp_20	Edge	433.8141070679	0.0055983662	0.4341073885	True
edge_comp_21	Edge	424.0595488496	0.0053494318	0.4394568203	True
edge_comp_22	Edge	415.2031838107	0.0051283223	0.4445851427	True
edge_comp_23	Edge	407.6620659335	0.0049437280	0.4495288706	True
dropped0	Edge	383.3727182754	0.0043721633	0.4539010339	False
dropped1	Edge	358.6482323609	0.0038264087	0.4577274426	False
dropped2	Edge	351.1038859709	0.0036671210	0.4613945636	False
dropped3	Edge	347.9799897039	0.0036021559	0.4649967195	False
dropped4	Edge	341.7435798788	0.0034741990	0.4684709185	False
dropped5	Edge	340.3532477343	0.0034459880	0.4719169066	False
dropped6	Edge	332.3931636454	0.0032866854	0.4752035919	False
dropped7	Edge	328.0689651468	0.0032017267	0.4784053187	False
dropped8	Edge	321.1134598985	0.0030674040	0.4814727227	False
dropped9	Edge	315.7412858462	0.0029656283	0.4844383510	False
dropped10	Edge	306.3175231560	0.0027912430	0.4872295940	False
dropped11	Edge	301.1329007463	0.0026975554	0.4899271494	False
dropped12	Edge	299.2820741674	0.0026644979	0.4925916473	False
dropped13	Edge	296.4947446189	0.0026150980	0.4952067452	False
dropped14	Edge	291.7427909537	0.0025319448	0.4977386900	False
dropped15	Edge	286.4863375045	0.0024415285	0.5001802185	False
dropped16	Edge	285.0611100627	0.0024172964	0.5025975149	False
dropped17	Edge	283.0693520014	0.0023836345	0.5049811495	False
dropped18	Edge	279.4572545795	0.0023231901	0.5073043395	False
dropped19	Edge	275.6796178761	0.0022608059	0.5095651454	False
dropped20	Edge	274.1580646105	0.0022359187	0.5118010642	False
dropped21	Edge	270.8324856874	0.0021820037	0.5139830678	False
dropped22	Edge	267.9694247464	0.0021361141	0.5161191820	False
dropped23	Edge	265.1186775894	0.0020909065	0.5182100885	False
dropped24	Edge	263.3741282251	0.0020634796	0.5202735681	False
dropped25	Edge	259.2989189394	0.0020001169	0.5222736850	False
dropped26	Edge	253.4356984873	0.0019106870	0.5241843720	False
dropped27	Edge	252.3012900392	0.0018936203	0.5260779923	False
dropped28	Edge	249.5928998422	0.0018531835	0.5279311758	False
dropped29	Edge	247.7146988568	0.0018253978	0.5297565736	False
