edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23
0.0048424721	-0.0025691103	0.0095605324	0.0006465259	0.0170419605	-0.0266072106	0.0257540066	0.0007104126	0.0348779550	-0.0160087919	-0.0123091428	-0.0195029389	0.0123205653	-0.0127670600	-0.0082533561	0.0057962252	-0.0033043896	0.0015378877	-0.0062892010	-0.0262378302	0.0121701238	-0.0092553415	-0.0015680787	-0.0006615088
0.0024242417	-0.0019693338	0.0065569487	0.0072126285	0.0113836194	-0.0214140793	0.0294530453	-0.0168417674	0.0088850817	0.0078137823	0.0057515853	-0.0259586798	-0.0013328553	0.0108252884	-0.0204058981	0.0141795203	-0.0010351980	0.0016874587	-0.0067770180	0.0102474693	0.0068306707	-0.0004623928	-0.0034875453	-0.0014536554
-0.0009097719	0.0030777251	0.0036404698	0.0028343706	0.0117250378	-0.0130508713	0.0336825595	-0.0305950721	0.0020729147	0.0109153616	0.0189759725	0.0037725358	-0.0058881303	0.0046274305	-0.0125617821	0.0131475793	0.0026239782	0.0060613389	-0.0152026336	-0.0045582820	0.0058825009	0.0014675164	-0.0069008837	-0.0001757947
-0.0038053160	-0.0045887707	0.0022048531	-0.0048261056	0.0060517421	-0.0059891732	0.0224805072	-0.0299896748	0.0021113953	-0.0033340541	0.0188562601	0.0239238011	0.0064311920	0.0021563046	0.0043512161	0.0123087107	-0.0064120176	-0.0132680559	0.0062622224	-0.0146325174	-0.0057394730	0.0053796397	-0.0065583747	0.0100503523
-0.0071072711	-0.0084868903	0.0049393559	-0.0106480930	0.0139660020	-0.0109384859	-0.0041752476	-0.0298746046	0.0240143442	-0.0299632325	-0.0104513909	0.0117500744	0.0027732307	-0.0179794857	-0.0106340543	0.0121350285	-0.0001500809	0.0050898879	-0.0226075162	-0.0019200988	-0.0219152651	-0.0006088146	0.0048455879	0.0031619249
-0.0010898004	0.0058551559	-0.0050544817	0.0068843803	0.0159594987	-0.0201756146	0.0066189719	-0.0062320188	0.0164564531	0.0060064545	-0.0169117776	-0.0178802339	-0.0048213028	-0.0025417335	-0.0288883549	0.0020680109	-0.0060289395	-0.0272268981	-0.0032462525	0.0073037286	0.0092116956	0.0117926196	0.0127206140	-0.0120038805
0.0048004872	0.0024274251	-0.0002417372	-0.0020688965	0.0095804730	-0.0024405763	0.0163759091	-0.0089443920	-0.0014187382	0.0299575690	0.0060209385	-0.0064258157	0.0164592442	-0.0049663009	0.0089197797	-0.0052940923	0.0023570963	0.0140162945	0.0106195326	0.0055573483	0.0070377402	0.0044388853	-0.0249563974	-0.0021712322
0.0048443448	0.0060863334	-0.0063461975	-0.0025855321	0.0078686092	0.0031803708	0.0384882721	0.0111500616	0.0106389057	0.0275140481	0.0102798953	0.0127579741	0.0040524410	0.0038068600	0.0221637578	-0.0117577526	-0.0026533081	0.0017754119	0.0147045165	0.0109412400	0.0203496241	0.0009876183	-0.0292537227	-0.0062734940
-0.0048569213	-0.0091200130	0.0021263202	-0.0127183415	0.0098884734	-0.0005961785	0.0129242143	-0.0317727210	0.0093423071	-0.0168397861	0.0013652186	0.0278711934	-0.0099268649	-0.0191318265	-0.0074253998	0.0222679429	0.0142086156	-0.0168479243	-0.0010946329	-0.0069816115	-0.0201853019	0.0102609267	0.0034099730	0.0016948070
-0.0022785224	0.0001355595	-0.0034634686	0.0018613659	0.0197144506	-0.0226678708	-0.0040466862	-0.0211951160	0.0206548200	-0.0173378398	-0.0229788874	-0.0011431354	-0.0175092944	-0.0161516364	-0.0400961397	0.0111965450	-0.0216316988	-0.0057384845	-0.0194258164	0.0016348014	-0.0090021139	0.0111686408	0.0175256729	-0.0157524141
-0.0028872070	0.0056406593	-0.0046111115	0.0074497629	0.0111117975	-0.0097269927	0.0042350961	-0.0186973391	0.0006743603	0.0167493517	-0.0080265026	-0.0148969509	-0.0037572660	-0.0037813025	-0.0270124021	0.0078923096	0.0059781033	-0.0040885426	-0.0043035028	0.0213499996	-0.0045695341	0.0186720614	-0.0065735786	-0.0070294612
-0.0028811316	0.0056308491	-0.0085580702	0.0028173843	0.0104941713	-0.0015537173	0.0151351227	-0.0111972971	-0.0017642381	0.0239000345	0.0128617005	0.0090500312	-0.0014483093	-0.0005724520	-0.0108798088	0.0061628046	-0.0098669358	0.0074081647	-0.0011802836	0.0071372497	0.0123069781	0.0138216046	-0.0229945890	-0.0038307939
-0.0075468688	0.0007336227	-0.0078107047	-0.0308047010	0.0080609851	0.0221887108	0.0055607597	-0.0114102840	0.0092855916	0.0034727297	0.0097249933	0.0269186810	0.0253865009	-0.0170403127	0.0263127917	-0.0001128533	0.0111597073	-0.0083236179	0.0308806204	-0.0032745243	0.0198921681	0.0169393131	-0.0137707945	0.0044211504
-0.0034990216	0.0090374658	-0.0109239571	-0.0127369095	0.0205742550	-0.0074810640	0.0005550958	0.0021322599	0.0294590830	-0.0014254106	-0.0234239759	0.0041764612	0.0224798968	-0.0190491704	0.0157126592	-0.0153062533	-0.0121554215	0.0116286810	0.0144712924	0.0064137032	0.0148297130	0.0122670960	-0.0194505758	-0.0073704976
-0.0012648237	0.0103406018	-0.0159780285	0.0017327665	0.0110150056	-0.0022475903	0.0087627213	0.0042374133	0.0055289093	0.0233555131	-0.0146457121	-0.0151261648	0.0169774166	-0.0053689144	-0.0086390418	-0.0046795694	0.0085202553	-0.0060924709	0.0230070677	0.0228466958	0.0226391521	0.0246939187	-0.0185611127	-0.0057077488
-0.0023329955	0.0131825211	-0.0213174881	-0.0005752717	0.0143299647	-0.0050519735	0.0096115955	0.0004618223	0.0035974610	0.0370390016	0.0079615022	0.0105718834	0.0104131621	-0.0024693242	-0.0066188332	-0.0020215437	-0.0070674221	0.0072197329	0.0087632796	0.0127712603	0.0100302670	0.0210238842	-0.0317367272	-0.0037626034
