component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
t_comp_cor_00	0	732.4911686714	0.2181070375	0.2181070375	True
t_comp_cor_01	0	455.7809375095	0.0844456354	0.3025526728	True
t_comp_cor_02	0	422.8606490724	0.0726874506	0.3752401235	True
t_comp_cor_03	0	392.3338120527	0.0625714716	0.4378115950	True
t_comp_cor_04	0	361.3658384047	0.0530834428	0.4908950378	True
t_comp_cor_05	0	284.5504821377	0.0329142182	0.5238092560	True
dropped0	0	269.0580760731	0.0294277432	0.5532369992	False
dropped1	0	218.5280603410	0.0194124037	0.5726494030	False
dropped2	0	217.7964872503	0.0192826463	0.5919320493	False
dropped3	0	213.8279436448	0.0185863372	0.6105183864	False
dropped4	0	202.6235690643	0.0166895572	0.6272079437	False
dropped5	0	189.4091394981	0.0145836675	0.6417916112	False
dropped6	0	173.8678808017	0.0122886341	0.6540802453	False
dropped7	0	165.4786113344	0.0111313702	0.6652116156	False
dropped8	0	159.0146435812	0.0102787223	0.6754903379	False
dropped9	0	155.2585081222	0.0097988636	0.6852892014	False
dropped10	0	150.6015723194	0.0092198511	0.6945090525	False
dropped11	0	148.9726400499	0.0090214827	0.7035305352	False
dropped12	0	145.0878242812	0.0085571044	0.7120876396	False
dropped13	0	143.2415234631	0.0083407049	0.7204283445	False
dropped14	0	134.8468079711	0.0073917324	0.7278200768	False
dropped15	0	126.3359407920	0.0064881179	0.7343081947	False
dropped16	0	119.4041748545	0.0057956736	0.7401038683	False
dropped17	0	117.6051349489	0.0056223446	0.7457262129	False
dropped18	0	112.9468675742	0.0051857703	0.7509119832	False
dropped19	0	111.1789482589	0.0050246986	0.7559366817	False
dropped20	0	109.5908248376	0.0048821743	0.7608188561	False
dropped21	0	106.6212003503	0.0046211709	0.7654400270	False
dropped22	0	101.5570931152	0.0041926192	0.7696326461	False
dropped23	0	96.1480093945	0.0037579023	0.7733905485	False
dropped24	0	94.3967085106	0.0036222515	0.7770127999	False
dropped25	0	93.5423550653	0.0035569806	0.7805697805	False
dropped26	0	90.9362562533	0.0033615458	0.7839313263	False
dropped27	0	89.8675456326	0.0032829983	0.7872143246	False
dropped28	0	88.5462621423	0.0031871710	0.7904014955	False
dropped29	0	87.7889412107	0.0031328854	0.7935343810	False
dropped30	0	86.0904434477	0.0030128311	0.7965472121	False
dropped31	0	84.3279407646	0.0028907324	0.7994379444	False
dropped32	0	82.2926805743	0.0027528802	0.8021908246	False
dropped33	0	81.3238233365	0.0026884407	0.8048792653	False
dropped34	0	80.4368456514	0.0026301163	0.8075093817	False
dropped35	0	79.3828559196	0.0025616414	0.8100710231	False
dropped36	0	79.1206472143	0.0025447467	0.8126157697	False
dropped37	0	76.7074574008	0.0023918837	0.8150076535	False
dropped38	0	76.2205429768	0.0023616143	0.8173692678	False
dropped39	0	74.7228954424	0.0022697200	0.8196389877	False
dropped40	0	74.0006387407	0.0022260547	0.8218650424	False
dropped41	0	72.6475542429	0.0021453931	0.8240104356	False
dropped42	0	71.8326097269	0.0020975300	0.8261079656	False
dropped43	0	70.7413181116	0.0020342821	0.8281422477	False
dropped44	0	70.2415153848	0.0020056384	0.8301478861	False
dropped45	0	69.2668302425	0.0019503633	0.8320982495	False
dropped46	0	68.6583572306	0.0019162480	0.8340144974	False
dropped47	0	68.0518414684	0.0018825419	0.8358970394	False
dropped48	0	66.5309085666	0.0017993341	0.8376963734	False
dropped49	0	65.0420448324	0.0017197023	0.8394160757	False
dropped50	0	64.3633954018	0.0016840027	0.8411000784	False
dropped51	0	63.3785819301	0.0016328637	0.8427329421	False
dropped52	0	62.5260507107	0.0015892305	0.8443221726	False
