t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05
-0.0158196439	0.0139258935	-0.0114485677	-0.0188092545	-0.0331806403	-0.0092023135
-0.0151313532	0.0075726741	0.0165792427	0.0203443663	-0.0123808444	-0.0023467401
-0.0124141431	0.0191639247	-0.0014944131	0.0064753832	0.0261004465	-0.0078819614
-0.0171677797	0.0308860404	-0.0214834615	-0.0143866655	0.0130065760	-0.0120327476
-0.0245484335	0.0207355596	-0.0114958189	-0.0027889975	-0.0318639677	-0.0130757875
-0.0279434423	0.0121433211	0.0164171415	0.0197238416	-0.0079374573	-0.0041048059
-0.0252763233	0.0256667508	0.0004565212	-0.0024641821	0.0308362029	-0.0024332738
-0.0269302700	0.0283893349	-0.0217053067	-0.0230841447	-0.0046075258	-0.0006657763
-0.0284878456	0.0290228263	-0.0114863323	0.0049066137	-0.0292723000	0.0012461774
-0.0276522767	0.0147334727	0.0081333657	0.0351899423	-0.0145609856	0.0066994870
-0.0254860385	-0.0038289758	0.0140418510	-0.0132436553	0.0248575432	0.0189968519
-0.0181536696	0.0100105829	-0.0120715246	-0.0203226879	-0.0274995615	0.0064468181
-0.0228266370	0.0099090309	0.0117148326	0.0261970991	-0.0237160019	0.0057378957
-0.0262650658	0.0127653809	-0.0035304687	0.0289321994	0.0144430279	-0.0046322753
-0.0257295086	0.0150228742	-0.0005815008	-0.0042829196	0.0268009304	-0.0017855617
-0.0207739790	0.0064293988	-0.0086867499	-0.0300679094	-0.0062915237	-0.0085163038
-0.0100071756	0.0137494506	0.0043998132	0.0033005224	-0.0318440564	-0.0246030210
-0.0051881892	0.0190290060	0.0038016460	0.0316525946	-0.0046209291	-0.0351951364
-0.0097712771	0.0120120499	0.0025902235	0.0064882591	0.0304820950	-0.0371238374
-0.0182571927	0.0060407654	-0.0064278957	-0.0248689946	-0.0211524658	-0.0288386500
-0.0234129960	0.0089465887	0.0161372840	0.0308376193	-0.0057096028	-0.0213399503
-0.0319681479	0.0126752366	-0.0090221316	0.0012856967	0.0303416214	-0.0135333533
-0.0373839747	0.0070228798	-0.0046393433	-0.0283317939	0.0062462417	0.0007998620
-0.0324421421	0.0050808647	0.0156671099	-0.0020808265	-0.0292584940	-0.0001581573
-0.0225858802	0.0080626074	0.0196829564	0.0252958994	-0.0032071585	-0.0003893815
-0.0195137594	0.0051310806	-0.0018597466	-0.0013569734	0.0293854778	-0.0014413447
-0.0238690957	-0.0797917247	0.0464730135	-0.0589132823	-0.0150277032	0.0158060244
-0.0171198019	-0.0867854322	0.0705697101	-0.0163759992	-0.0042788664	0.0141089541
-0.0155529327	-0.0564918488	0.0259024606	-0.0258288687	0.0392767470	0.0006725534
-0.0207805077	-0.0321718463	-0.0060375690	-0.0394141165	0.0013839939	-0.0007063881
-0.0200640436	-0.0441411362	0.0316050735	-0.0126107660	-0.0151198645	0.0056842704
-0.0143108215	-0.0420713580	0.0357895840	-0.0068916240	0.0157262242	0.0179579183
-0.0116184338	-0.0639913359	0.0216020944	-0.0402205844	0.0318410445	0.0146782195
-0.0092173062	-0.0462334012	0.0065464605	-0.0382337222	-0.0334452893	0.0160391959
-0.0104743955	-0.0571949528	0.0444231092	0.0010645921	-0.0067729224	0.0219445762
-0.0025381120	-0.0357102273	0.0193880116	-0.0134082163	0.0260713217	0.0112243998
0.0022054247	-0.0126143016	-0.0157030198	-0.0293496080	0.0088089695	-0.0034646894
0.0033334135	-0.0073766494	-0.0092878171	-0.0073586304	-0.0302609847	-0.0081363771
0.0063547523	-0.0067566055	0.0157074387	0.0166933829	-0.0040606329	0.0015809206
0.0117932660	-0.0102006166	0.0003352141	-0.0087424469	0.0324259218	0.0054111402
0.0163463690	0.0001715847	-0.0202514123	-0.0197464423	-0.0054082624	-0.0033992633
0.0110959571	-0.0067672172	-0.0111472445	-0.0036449591	-0.0303462522	-0.0049606188
0.0083291481	0.0046967240	0.0118549627	0.0311418218	-0.0128116290	0.0025308538
0.0052972302	-0.0103633500	0.0060648899	-0.0044249155	0.0273817978	0.0050247311
0.0066739503	0.0029385975	-0.0112618438	-0.0213456432	-0.0181316674	-0.0104457900
0.0012679644	0.0074471243	0.0045753988	0.0294071285	-0.0224758654	-0.0211095557
-0.0025355769	0.0068375168	0.0001819121	0.0150809325	0.0278078889	-0.0294975756
-0.0080919867	-0.0707081937	0.0279007789	-0.0437845554	0.0153932719	-0.0163270346
-0.0018800551	-0.0777740676	0.0250970884	-0.0021121934	-0.0189222164	-0.0207360562
0.0005048349	-0.0191907498	0.0125698866	0.0286293785	0.0145872128	-0.0221178804
-0.0040599265	0.0028456715	-0.0199395958	-0.0026563066	0.0327269374	-0.0156572510
-0.0095185726	-0.0035775220	-0.0109095412	-0.0222068943	-0.0238287166	-0.0023003870
-0.0101098849	-0.0010941440	0.0083216255	0.0322426157	-0.0116604369	0.0034346144
-0.0074721300	0.0113150793	-0.0086255437	0.0186811197	0.0274077049	0.0069047030
-0.0076218417	0.0156860267	-0.0269911662	-0.0123612734	0.0262477666	0.0140748662
-0.0060502648	0.0140119432	-0.0149791579	-0.0245409790	-0.0279217471	0.0251122906
-0.0045761790	-0.0099947366	0.0272218182	0.0192532926	-0.0122240669	0.0424030044
0.0048647035	0.0152617155	-0.0075773387	0.0079479278	0.0275534144	0.0388455460
0.0012898694	0.0209739391	-0.0324441792	-0.0160159935	0.0198372480	0.0392739542
-0.0024679712	0.0127348530	-0.0232496679	-0.0200804856	-0.0306759873	0.0395792662
-0.0055229549	-0.0610843657	-0.0318126547	0.0329257868	-0.0102333527	0.0424981140
0.0064729724	-0.0096303537	-0.0442365714	0.0235362926	0.0084136810	0.0447303489
0.0074156324	0.0182175772	-0.0050291184	0.0192360107	-0.0265718714	0.0537733764
-0.0115874569	0.0150306762	0.0238450123	0.0304401781	-0.0158112693	0.0601138405
-0.0128858979	0.0147705052	0.0250003285	0.0180413254	0.0047908912	0.0580471823
-0.0065980308	0.0096475823	0.0168960421	0.0160989285	0.0270410585	0.0485434797
0.0012868153	0.0217009159	0.0028903944	-0.0193750233	0.0194493240	0.0458006373
0.0067577808	-0.0098825694	0.0171760215	-0.0368868054	-0.0024055340	0.0473055102
0.0183905241	0.0022673986	0.0164321006	-0.0075242773	-0.0335707646	0.0275747797
0.0233858965	0.0111445427	0.0273317956	0.0218070878	-0.0035744855	0.0224509443
0.0256075690	0.0219313779	0.0167917622	0.0036047628	0.0195577957	0.0167104106
0.0320566339	0.0056066859	0.0090533163	-0.0272213985	0.0132342255	0.0245616674
0.0489212835	0.0050195145	-0.0000702688	-0.0328118786	-0.0104621414	0.0200439206
0.0688130889	0.0123755552	0.0042142188	-0.0025837136	-0.0269630431	0.0042204218
0.0727374779	0.0135289295	0.0158734837	0.0165078724	-0.0069973998	-0.0058232871
0.0674294374	0.0204513386	0.0118471507	0.0144369614	0.0169868812	-0.0265899577
0.0628503446	0.0087752625	0.0111173348	-0.0210661216	0.0164944297	-0.0248429943
0.0630076193	-0.0131196129	-0.0064392115	-0.0290659121	-0.0138894663	-0.0358251094
0.0635619809	-0.0344608743	-0.0368774464	0.0401034996	-0.0140357611	-0.0525860361
0.0519716837	-0.0201317379	-0.0382923681	0.0344812307	0.0231466562	-0.0473429118
0.0339048683	-0.0075555655	-0.0612489347	0.0118658488	0.0273159841	-0.0381922166
0.0220172081	-0.0082050668	-0.0561824550	0.0101272678	-0.0208418529	-0.0351786503
0.0198018285	-0.0080871876	-0.0175388970	0.0415270436	-0.0028379850	-0.0291221326
0.0229292444	0.0047072044	-0.0356531347	0.0132954129	0.0314553042	-0.0291801837
0.0210590149	0.0086257581	-0.0494355694	0.0056760427	-0.0134527341	-0.0271691875
0.0178165893	0.0146126581	-0.0237956986	0.0346998976	0.0067199385	-0.0250871826
0.0106757968	0.0233152176	-0.0377754593	-0.0009274988	0.0256832756	-0.0195378443
0.0060714783	0.0285790645	-0.0424667200	0.0044820974	-0.0303493362	-0.0164554711
0.0042320018	0.0231546035	-0.0185153901	0.0344806544	-0.0025484532	-0.0050498206
0.0077898771	0.0216893688	-0.0322184307	0.0055478302	0.0280745884	-0.0041390389
0.0083636671	0.0310815743	-0.0423597758	-0.0029810187	-0.0198162626	-0.0054692640
0.0046850135	0.0272863356	-0.0209684465	0.0295980808	-0.0323807908	-0.0005499345
0.0059762903	0.0391914196	-0.0124012817	0.0462402090	-0.0045170281	0.0014523467
0.0058394959	0.0047765665	-0.0005027434	0.0007879151	0.0235260457	0.0120496452
0.0061065200	-0.0057046719	-0.0072558490	-0.0149163014	-0.0268191359	0.0090892533
0.0037286004	0.0011492815	0.0179669258	0.0327511806	-0.0096587536	0.0034180063
-0.0072154706	0.0154695128	0.0022855838	0.0124143393	0.0279118755	0.0039681142
-0.0131066728	0.0240257355	-0.0090681656	-0.0229247824	0.0231944071	0.0082026373
-0.0128543330	-0.0058779033	0.0118259353	-0.0301499258	-0.0338050976	0.0194954553
-0.0050035564	0.0087797125	0.0185021654	0.0272472367	-0.0177394845	0.0100117911
-0.0021129511	0.0249700897	0.0058976835	0.0093057766	0.0270500081	0.0017576040
-0.0079527596	0.0317052290	-0.0179172336	-0.0198166064	0.0204406574	-0.0075108796
-0.0093244125	0.0186409146	-0.0048874532	-0.0301742473	-0.0243441954	-0.0116432572
-0.0056632087	0.0211230744	0.0173711310	0.0220962882	-0.0189160670	-0.0216681485
0.0008245106	0.0400281897	0.0052466692	0.0092202968	0.0229079062	-0.0393659569
-0.0041507490	0.0389701047	-0.0161633498	-0.0215123866	0.0173212246	-0.0495252529
-0.0068026029	0.0393127317	-0.0100475144	-0.0207795324	-0.0277676522	-0.0514562058
-0.0080681043	0.0197676344	0.0279550877	0.0079435796	-0.0195199394	-0.0401581757
0.0008052311	0.0293731318	0.0123853259	0.0051746654	0.0236173427	-0.0393774098
-0.0002736057	0.0213640847	-0.0182171035	-0.0222900762	0.0009639105	-0.0349459606
-0.0113053654	0.0197672844	0.0097912367	0.0121377227	-0.0230288793	-0.0255437558
-0.0184766464	0.0088739994	0.0198132620	-0.0046056783	0.0204174589	-0.0173841981
-0.0194743674	0.0246527355	-0.0139217043	-0.0225427305	-0.0180893626	-0.0259202365
-0.0256878549	-0.0010020182	0.0215876640	0.0116815738	-0.0250831432	-0.0186214079
-0.0236672667	0.0149438228	0.0190202598	-0.0005518759	0.0193651903	-0.0181963887
-0.0225489864	0.0246626295	-0.0122062255	-0.0235814176	0.0135525780	-0.0269564608
-0.0217354136	0.0285652298	-0.0052012410	-0.0062205025	-0.0305613032	-0.0319421816
-0.0259952326	-0.0176527924	0.0182445537	0.0230952774	-0.0063797943	-0.0241581760
-0.0282927400	-0.0354454166	0.0339655671	-0.0273885637	0.0299307696	-0.0286268724
-0.0311943859	-0.0440719490	0.0295281404	-0.0228749415	-0.0241236995	-0.0174803368
-0.0377062345	-0.0516721051	0.0435451930	-0.0093043722	0.0217648369	-0.0079090398
-0.0397615474	-0.0312100762	0.0125997784	-0.0363914077	-0.0115114158	-0.0081174526
-0.0462454502	-0.0293738565	0.0354427279	0.0066947972	-0.0264933687	0.0033405514
-0.0465550258	-0.0337687149	0.0288319549	0.0025911613	0.0209200370	0.0144110082
-0.0425347200	-0.0508174222	0.0257943127	-0.0376838131	0.0102474572	0.0232503681
-0.0362242736	-0.0263031790	0.0087923297	-0.0003750305	-0.0338455946	0.0045577289
-0.0339230593	-0.0004854344	0.0130948690	0.0324620346	0.0078560264	-0.0076530251
-0.0353972622	-0.0334308864	-0.0543631264	0.0112031333	0.0249241150	-0.0196740184
-0.0365622959	-0.0626312603	-0.0583383398	0.0344956970	-0.0111817420	-0.0063449923
-0.0296142929	-0.1052043272	0.0308437107	-0.0135376597	0.0238923405	0.0071460004
-0.0323537750	-0.0930295533	-0.0034558727	-0.0359125265	-0.0192376777	-0.0017343348
-0.0410732479	-0.0257549003	0.0437484850	0.0154847142	-0.0212427634	0.0094083222
-0.0387240562	0.0102810408	0.0283299517	0.0028445255	0.0259888079	0.0109410008
-0.0346878173	0.0077536905	-0.0033342658	-0.0250749977	-0.0072644521	0.0062772857
-0.0288705836	0.0264411803	0.0133570963	0.0202704659	-0.0075402084	0.0003271525
-0.0237735152	0.0314216254	0.0117524130	-0.0061570035	0.0217200710	0.0019680302
-0.0139411230	0.0253495059	0.0062981375	-0.0343640430	-0.0134653248	0.0116299340
0.0078797683	0.0024358748	0.0436730132	-0.0024512920	-0.0150556743	0.0045424878
0.0333369277	0.0293581403	0.0203449660	0.0035590511	0.0183769530	-0.0036441885
0.0381254282	-0.0091366226	0.0194195166	-0.0308138885	0.0220898262	0.0098679233
0.0397502898	-0.0248776564	0.0504667495	-0.0488259431	-0.0309920397	0.0236123424
0.0482645908	0.0202687728	0.0352538950	0.0169314533	-0.0111800094	0.0111449449
0.0403206843	0.0028850375	0.0308084374	-0.0210034684	0.0308690158	0.0029433321
0.0250183720	-0.0242197053	0.0263457821	-0.0415278859	-0.0135815416	0.0028367377
0.0161450365	-0.0013743219	0.0219980387	0.0075012096	-0.0187511076	-0.0029235551
0.0039524915	0.0104897073	0.0145848569	0.0239779134	0.0162945649	0.0002857971
-0.0077885568	0.0193422969	-0.0001956225	-0.0130590611	0.0291827918	0.0122196141
-0.0094698382	0.0349776894	-0.0080071485	-0.0257108575	0.0055379796	0.0238151040
-0.0050087543	0.0295922914	0.0164084535	-0.0214733132	-0.0344869343	0.0346345321
0.0005532422	0.0421245634	0.0231100592	0.0294797222	-0.0215511611	0.0420540830
0.0023030306	0.0349261969	0.0255395585	-0.0024765331	0.0306814056	0.0467665683
-0.0097188466	-0.0283313588	-0.0412649975	-0.0007244149	-0.0156632606	0.0397986708
-0.0113711895	-0.0529164714	-0.0594749055	0.0333870894	0.0046438499	0.0367796833
-0.0106558199	-0.0127315212	-0.0267543798	-0.0186695062	-0.0090883706	0.0451098975
-0.0296313193	0.0069372996	-0.0015882391	0.0260016986	-0.0359031534	0.0489397331
-0.0344563600	0.0256142472	0.0000356698	0.0348661126	-0.0047720233	0.0577156215
-0.0294703980	0.0364826400	0.0003704542	0.0382764596	0.0136204471	0.0575771724
-0.0206103061	0.0419242622	0.0019770943	-0.0015852125	0.0247006031	0.0659467501
-0.0136136251	0.0337016882	-0.0183976956	-0.0182901996	0.0150200509	0.0642199648
0.0005077574	0.0379149767	-0.0068256133	-0.0184168132	-0.0084979072	0.0580941380
0.0033326176	-0.0224182974	0.0034881942	-0.0149916060	-0.0174845165	0.0561268610
