Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	Cosine06	Cosine07	Cosine08	Cosine09	Cosine10	Cosine11	Cosine12	Cosine13	Cosine14	Cosine15	Cosine16	Cosine17	Cosine18	Cosine19	Cosine20	Cosine21	Cosine22	Cosine23	Cosine24	Cosine25	Cosine26	Cosine27	Cosine28	Cosine29	NonSteadyStateOutlier00
0.0315989626	0.0315038582	0.0313455628	0.0311243940	0.0308407953	0.0304953356	0.0300887079	0.0296217278	0.0290953318	0.0285105760	0.0278686332	0.0271707910	0.0264184492	0.0256131168	0.0247564092	0.0238500448	0.0228958416	0.0218957134	0.0208516665	0.0197657950	0.0186402769	0.0174773698	0.0162794064	0.0150487894	0.0137879873	0.0124995290	0.0111859990	0.0098500319	0.0084943074	0.0071215449	0.0000000000
0.0315966978	0.0314948084	0.0313252360	0.0310883451	0.0307846447	0.0304147875	0.0299795683	0.0294799225	0.0289169237	0.0282917818	0.0276058404	0.0268605735	0.0260575827	0.0251985936	0.0242854522	0.0233201209	0.0223046743	0.0212412944	0.0201322666	0.0189799741	0.0177868934	0.0165555882	0.0152887047	0.0139889655	0.0126591638	0.0113021572	0.0099208621	0.0085182469	0.0070973258	0.0056611524	0.0000000000
0.0315943549	0.0314854474	0.0313042129	0.0310510677	0.0307265932	0.0303315350	0.0298668005	0.0293334573	0.0287327305	0.0280660001	0.0273347977	0.0265408029	0.0256858398	0.0247718723	0.0238009999	0.0227754529	0.0216975870	0.0205698784	0.0193949176	0.0181754036	0.0169141378	0.0156140176	0.0142780296	0.0129092427	0.0115108012	0.0100859176	0.0086378651	0.0071699700	0.0056856044	0.0041881781	0.0000000000
0.0315919341	0.0314757754	0.0312824939	0.0310125632	0.0306666446	0.0302455857	0.0297504182	0.0291823554	0.0285427891	0.0278332865	0.0270555860	0.0262115932	0.0253033759	0.0243331596	0.0233033215	0.0222163849	0.0210750131	0.0198820027	0.0186402769	0.0173528782	0.0160229609	0.0146537837	0.0132487014	0.0118111567	0.0103446720	0.0088528406	0.0073393176	0.0058078116	0.0042620752	0.0027058957	0.0000000000
0.0315894352	0.0314657924	0.0312600796	0.0309728331	0.0306048023	0.0301569470	0.0296304354	0.0290266406	0.0283471376	0.0275936987	0.0267682889	0.0258730612	0.0249103505	0.0238826678	0.0227926935	0.0216432706	0.0204373969	0.0191782178	0.0178690174	0.0165132104	0.0151143331	0.0136760341	0.0122020648	0.0106962697	0.0091625762	0.0076049846	0.0060275574	0.0044344089	0.0028296944	0.0012175995	0.0000000000
0.0315868582	0.0314554986	0.0312369704	0.0309318791	0.0305410703	0.0300656270	0.0295068666	0.0288663376	0.0281458151	0.0273472956	0.0264729921	0.0255253274	0.0245069277	0.0234206150	0.0222693998	0.0210564722	0.0197851935	0.0184590867	0.0170818266	0.0156572298	0.0141892441	0.0126819376	0.0111394872	0.0095661675	0.0079663382	0.0063444328	0.0047049459	0.0030524209	0.0013914370	-0.0002734028	0.0000000000
0.0315842033	0.0314448940	0.0312131668	0.0308897027	0.0304754525	0.0299716336	0.0293797268	0.0287014717	0.0279388618	0.0270941383	0.0261697840	0.0251685156	0.0240932758	0.0229472249	0.0217337310	0.0204563608	0.0191188685	0.0177251850	0.0162794064	0.0147857819	0.0132487014	0.0116726824	0.0100623568	0.0084224576	0.0067578044	0.0050732897	0.0033738644	0.0016645231	-0.0000497102	-0.0017637974	0.0000000000
0.0315814703	0.0314339787	0.0311886694	0.0308463057	0.0304079530	0.0298749754	0.0292490315	0.0285320690	0.0277263192	0.0268342893	0.0258587551	0.0248027525	0.0236695676	0.0224627265	0.0211859850	0.0198433158	0.0184388973	0.0169770998	0.0154624721	0.0138997276	0.0122937293	0.0106494748	0.0089720807	0.0072667669	0.0055388401	0.0037936772	0.0020367090	0.0002734028	-0.0014907541	-0.0032502721	0.0000000000
0.0315786594	0.0314227529	0.0311634787	0.0308016896	0.0303385758	0.0297756608	0.0291147963	0.0283581563	0.0275082297	0.0265678126	0.0255399985	0.0244281684	0.0232359798	0.0219673546	0.0206264659	0.0192177248	0.0177457654	0.0162154298	0.0146317522	0.0129999423	0.0113253680	0.0096135379	0.0078700834	0.0061007395	0.0043113267	0.0025077315	0.0006958869	-0.0011182469	-0.0029287021	-0.0047295231	0.0000000000
0.0315757704	0.0314112166	0.0311375953	0.0307558563	0.0302673254	0.0296736988	0.0289770376	0.0281797610	0.0272846371	0.0262947742	0.0252136092	0.0240448963	0.0227926935	0.0214613488	0.0200554849	0.0185799833	0.0170399674	0.0154407845	0.0137879873	0.0120873148	0.0103446720	0.0085661100	0.0067578044	0.0049260339	0.0030771590	0.0012175995	-0.0006461879	-0.0025077315	-0.0043605677	-0.0061982629	0.0000000000
0.0315728035	0.0313993701	0.0311110197	0.0307088077	0.0301942061	0.0295690983	0.0288357721	0.0279969113	0.0270555860	0.0260152414	0.0248796850	0.0236530727	0.0223398937	0.0209449541	0.0194733591	0.0179304946	0.0163220072	0.0146537837	0.0129319296	0.0111627466	0.0093527096	0.0075084431	0.0056366968	0.0037443211	0.0018382418	-0.0000745653	-0.0019870994	-0.0038923611	-0.0057833773	-0.0076532272	0.0000000000
0.0315697586	0.0313872133	0.0310837526	0.0306605455	0.0301192224	0.0294618687	0.0286910167	0.0278096361	0.0268211223	0.0257292834	0.0245383255	0.0232528368	0.0218777693	0.0204184204	0.0188804121	0.0172696692	0.0155923971	0.0138550572	0.0120643423	0.0102271510	0.0083505609	0.0064418013	0.0045082254	0.0025572822	0.0005964873	-0.0013666055	-0.0033244336	-0.0052694547	-0.0071941759	-0.0090911824	0.0000000000
0.0315666357	0.0313747464	0.0310557945	0.0306110716	0.0300423789	0.0293520195	0.0285427891	0.0276179651	0.0265812928	0.0254369707	0.0241896329	0.0228443310	0.0214065133	0.0198820027	0.0182769733	0.0165979251	0.0148516579	0.0130452440	0.0111859990	0.0092814525	0.0073393176	0.0053674596	0.0033738644	0.0013666055	-0.0006461879	-0.0026563643	-0.0046557829	-0.0066363464	-0.0085900337	-0.0105089328	0.0000000000
0.0315634348	0.0313619695	0.0310271460	0.0305603881	0.0299636804	0.0292395604	0.0283911072	0.0274219285	0.0263361456	0.0251383755	0.0238337112	0.0224277006	0.0209263224	0.0193359607	0.0176633781	0.0159156868	0.0141003184	0.0122249923	0.0102976827	0.0083265850	0.0063200809	0.0042867023	0.0022350956	0.0001739849	-0.0018878657	-0.0039416886	-0.0059787506	-0.0079903896	-0.0099680517	-0.0119033273	0.0000000000
0.0315601560	0.0313488829	0.0309978079	0.0305084969	0.0298831318	0.0291245016	0.0282359893	0.0272215574	0.0260857297	0.0248335715	0.0234706669	0.0220030938	0.0204373969	0.0187805586	0.0170399674	0.0152233858	0.0133389148	0.0113949583	0.0094001855	0.0073634921	0.0052939609	0.0032008210	0.0010934069	-0.0010188832	-0.0031266296	-0.0052204327	-0.0072909550	-0.0093289630	-0.0113253680	-0.0132712670	0.0000000000
0.0315567993	0.0313354865	0.0309677808	0.0304554000	0.0298007380	0.0290068531	0.0280774543	0.0270168834	0.0258300952	0.0245226342	0.0231006085	0.0215706616	0.0199399410	0.0182160652	0.0164070877	0.0145214597	0.0125679905	0.0105558062	0.0084943074	0.0063931250	0.0042620752	0.0021111138	-0.0000497102	-0.0022103020	-0.0043605677	-0.0064904617	-0.0085900337	-0.0106494748	-0.0126591638	-0.0146097118	0.0000000000
0.0315533646	0.0313217805	0.0309370652	0.0304010997	0.0297165041	0.0288866256	0.0279155212	0.0268079388	0.0255692932	0.0242056402	0.0227236465	0.0211305578	0.0194341624	0.0176427540	0.0157650907	0.0138103524	0.0117880958	0.0097082076	0.0075808562	0.0054164423	0.0032255475	0.0010188832	-0.0011927624	-0.0033985766	-0.0055877754	-0.0077496556	-0.0098736481	-0.0119493686	-0.0139666690	-0.0159156868	0.0000000000
0.0315498519	0.0313077651	0.0309056620	0.0303455979	0.0296304354	0.0287638295	0.0277502097	0.0265947567	0.0253033759	0.0238826678	0.0223398937	0.0206829388	0.0189202720	0.0170609023	0.0151143331	0.0130905135	0.0109997874	0.0088528406	0.0066606462	0.0044344089	0.0021855070	-0.0000745653	-0.0023342564	-0.0045820169	-0.0068063585	-0.0089959122	-0.0111394872	-0.0132261275	-0.0152451682	-0.0171862897	0.0000000000
0.0315462614	0.0312934403	0.0308735718	0.0302888970	0.0295425370	0.0286384760	0.0275815399	0.0263773707	0.0250323965	0.0235537968	0.0219494646	0.0202279640	0.0183984844	0.0164707918	0.0144551765	0.0123623980	0.0102036278	0.0079903896	0.0057344979	0.0034479949	0.0011430861	-0.0011679246	-0.0034727008	-0.0057589394	-0.0080144361	-0.0102271510	-0.0123852724	-0.0144772799	-0.0164920062	-0.0184186965	0.0000000000
0.0315425929	0.0312788065	0.0308407953	0.0302309991	0.0294528145	0.0285105760	0.0274095320	0.0261558153	0.0247564092	0.0232191085	0.0215524760	0.0197657950	0.0178690174	0.0158727083	0.0137879873	0.0116264664	0.0094001855	0.0071215449	0.0048032370	0.0024581747	0.0000994203	-0.0022598879	-0.0046066084	-0.0069276699	-0.0092101438	-0.0114413167	-0.0136087607	-0.0157004032	-0.0177045936	-0.0196101683	0.0000000000
0.0315388465	0.0312638636	0.0308073332	0.0301719065	0.0293612734	0.0283801411	0.0272342070	0.0259301255	0.0244754693	0.0228786855	0.0211490465	0.0192965963	0.0173320920	0.0152669412	0.0131131361	0.0108831839	0.0085900337	0.0062470017	0.0038676937	0.0014659262	-0.0009443538	-0.0033491500	-0.0057344979	-0.0080865459	-0.0103916358	-0.0126363821	-0.0148077497	-0.0168931296	-0.0188804121	-0.0207580571	0.0000000000
0.0315350222	0.0312486118	0.0307731864	0.0301116217	0.0292679193	0.0282471827	0.0270555860	0.0257003369	0.0241896329	0.0225326119	0.0207392967	0.0188205348	0.0167879323	0.0146537837	0.0124309981	0.0101330205	0.0077737508	0.0053674596	0.0029287021	0.0004722295	-0.0019870994	-0.0044344089	-0.0068548957	-0.0092339190	-0.0115570887	-0.0138103524	-0.0159800808	-0.0180531497	-0.0200170197	-0.0218598117	0.0000000000
0.0315311201	0.0312330513	0.0307383554	0.0300501468	0.0291727581	0.0281117128	0.0268736907	0.0254664858	0.0238989572	0.0221809731	0.0203233491	0.0183377798	0.0162367654	0.0140335327	0.0117419522	0.0093764504	0.0069519194	0.0044836227	0.0019870994	-0.0005219336	-0.0030276808	-0.0055143673	-0.0079663382	-0.0103681571	-0.0127047036	-0.0149612677	-0.0171236436	-0.0191782178	-0.0211120559	-0.0229129835	0.0000000000
0.0315271400	0.0312171822	0.0307028412	0.0299874845	0.0290757955	0.0279737433	0.0266885431	0.0252286093	0.0236035003	0.0218238560	0.0199013278	0.0178485029	0.0156788214	0.0134064884	0.0110463813	0.0086139520	0.0061251260	0.0035961980	0.0010437251	-0.0015155812	-0.0040649647	-0.0065877344	-0.0090673733	-0.0114876468	-0.0138327091	-0.0160872067	-0.0182363792	-0.0202661555	-0.0221632466	-0.0239152318	0.0000000000
0.0315230821	0.0312010048	0.0306666446	0.0299236371	0.0289770376	0.0278332865	0.0265001656	0.0249867449	0.0233033215	0.0214613488	0.0194733591	0.0173528782	0.0151143331	0.0127729544	0.0103446720	0.0078460075	0.0052939609	0.0027058957	0.0000994203	-0.0025077315	-0.0050978214	-0.0076532272	-0.0101565625	-0.0125907955	-0.0149393642	-0.0171862897	-0.0193162845	-0.0213148567	-0.0231684086	-0.0248643292	0.0000000000
0.0315189463	0.0311845191	0.0306297662	0.0298586072	0.0288764905	0.0276903550	0.0263085809	0.0247409309	0.0229984806	0.0210935410	0.0190395709	0.0168510819	0.0145435362	0.0121332373	0.0096372143	0.0070731022	0.0044590172	0.0018134281	-0.0008449732	-0.0034974046	-0.0061251260	-0.0087095721	-0.0112324831	-0.0136760341	-0.0160229609	-0.0182566819	-0.0203614153	-0.0223222909	-0.0241254544	-0.0257581663	0.0000000000
0.0315147327	0.0311677252	0.0305922070	0.0297923974	0.0287741604	0.0275449613	0.0261138123	0.0244912060	0.0226890388	0.0207205236	0.0186000927	0.0163432925	0.0139666690	0.0114876468	0.0089244012	0.0062957250	0.0036208908	0.0009195095	-0.0017886133	-0.0044836227	-0.0071457597	-0.0097555065	-0.0122937293	-0.0147418189	-0.0170818266	-0.0192965963	-0.0213698902	-0.0232865076	-0.0250323965	-0.0265947567	0.0000000000
0.0315104413	0.0311506235	0.0305539677	0.0297250102	0.0286700535	0.0273971186	0.0259158834	0.0242376099	0.0223750579	0.0203423885	0.0181550559	0.0158296906	0.0133839721	0.0108364954	0.0082066288	0.0055143673	0.0027801800	0.0000248551	-0.0027306588	-0.0054654115	-0.0081586108	-0.0107897801	-0.0133389148	-0.0157866337	-0.0181143270	-0.0203042971	-0.0223398937	-0.0242056402	-0.0258873512	-0.0273722409	0.0000000000
0.0315060720	0.0311332140	0.0305150493	0.0296564483	0.0285641764	0.0272468398	0.0257148181	0.0239801825	0.0220566008	0.0199592292	0.0177045936	0.0153104588	0.0127956889	0.0101800983	0.0074842961	0.0047295231	0.0019374849	-0.0008698192	-0.0036702698	-0.0064418013	-0.0091625762	-0.0118111567	-0.0143666740	-0.0168089925	-0.0191188685	-0.0212781018	-0.0232696794	-0.0250779090	-0.0266885431	-0.0280888911	0.0000000000
0.0315016249	0.0311154970	0.0304754525	0.0295867145	0.0284565355	0.0270941383	0.0255106407	0.0237189646	0.0217337310	0.0195711404	0.0172488403	0.0147857819	0.0122020648	0.0095187733	0.0067578044	0.0039416886	0.0010934069	-0.0017637974	-0.0046066084	-0.0074118274	-0.0101565625	-0.0128184155	-0.0153756644	-0.0178074409	-0.0200939006	-0.0222163849	-0.0241575735	-0.0259016253	-0.0274343081	-0.0287431146	0.0000000000
0.0314971000	0.0310974725	0.0304351783	0.0295158115	0.0283471376	0.0269390278	0.0253033759	0.0234539974	0.0214065133	0.0191782178	0.0167879323	0.0142558464	0.0116033477	0.0088528406	0.0060275574	0.0031513620	0.0002485485	-0.0026563643	-0.0055388401	-0.0083745317	-0.0111394872	-0.0138103524	-0.0163645677	-0.0187805586	-0.0210379183	-0.0231175800	-0.0250019776	-0.0266751944	-0.0281230976	-0.0293334573	0.0000000000
