component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
dropped767	0	9.4754285608	0.0000386526	0.9935317042	False
dropped768	0	9.4728653383	0.0000386317	0.9935703359	False
dropped769	0	9.4467799759	0.0000384192	0.9936087551	False
dropped770	0	9.4224101974	0.0000382213	0.9936469764	False
dropped771	0	9.4111271531	0.0000381298	0.9936851062	False
dropped772	0	9.3920731986	0.0000379755	0.9937230817	False
dropped773	0	9.3758300591	0.0000378443	0.9937609260	False
dropped774	0	9.3359910715	0.0000375234	0.9937984494	False
dropped775	0	9.3225125534	0.0000374151	0.9938358645	False
dropped776	0	9.3035770431	0.0000372633	0.9938731278	False
dropped777	0	9.2780770161	0.0000370593	0.9939101871	False
dropped778	0	9.2721291945	0.0000370118	0.9939471989	False
dropped779	0	9.2513782192	0.0000368463	0.9939840452	False
dropped780	0	9.2182366552	0.0000365828	0.9940206280	False
dropped781	0	9.1801449047	0.0000362811	0.9940569090	False
dropped782	0	9.1713326687	0.0000362115	0.9940931205	False
dropped783	0	9.1594757552	0.0000361179	0.9941292384	False
dropped784	0	9.1370874626	0.0000359415	0.9941651799	False
dropped785	0	9.1249264747	0.0000358459	0.9942010258	False
dropped786	0	9.1127836163	0.0000357506	0.9942367764	False
dropped787	0	9.0850708833	0.0000355335	0.9942723099	False
dropped788	0	9.0820324521	0.0000355097	0.9943078196	False
dropped789	0	9.0341162356	0.0000351360	0.9943429556	False
dropped790	0	9.0267554525	0.0000350788	0.9943780344	False
dropped791	0	9.0088544761	0.0000349398	0.9944129742	False
dropped792	0	8.9916927610	0.0000348068	0.9944477810	False
dropped793	0	8.9709865441	0.0000346467	0.9944824276	False
dropped794	0	8.9623682129	0.0000345801	0.9945170078	False
dropped795	0	8.9358245208	0.0000343756	0.9945513834	False
dropped796	0	8.9272885886	0.0000343100	0.9945856933	False
dropped797	0	8.8693819902	0.0000338663	0.9946195596	False
dropped798	0	8.8668347211	0.0000338469	0.9946534065	False
dropped799	0	8.8503202432	0.0000337209	0.9946871274	False
dropped800	0	8.8270765089	0.0000335440	0.9947206714	False
dropped801	0	8.8156433470	0.0000334572	0.9947541286	False
dropped802	0	8.8006254198	0.0000333433	0.9947874718	False
dropped803	0	8.7679787765	0.0000330963	0.9948205682	False
dropped804	0	8.7413642333	0.0000328957	0.9948534639	False
dropped805	0	8.7343463503	0.0000328429	0.9948863068	False
dropped806	0	8.7090682538	0.0000326531	0.9949189599	False
dropped807	0	8.6996910956	0.0000325828	0.9949515428	False
dropped808	0	8.6861843471	0.0000324817	0.9949840245	False
dropped809	0	8.6732724044	0.0000323852	0.9950164097	False
dropped810	0	8.6610365110	0.0000322939	0.9950487036	False
dropped811	0	8.6473808658	0.0000321922	0.9950808958	False
dropped812	0	8.6236485054	0.0000320157	0.9951129115	False
dropped813	0	8.5793273309	0.0000316875	0.9951445990	False
dropped814	0	8.5713563724	0.0000316286	0.9951762276	False
dropped815	0	8.5455287954	0.0000314383	0.9952076659	False
dropped816	0	8.5334657028	0.0000313496	0.9952390155	False
dropped817	0	8.5141773738	0.0000312080	0.9952702235	False
