t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09
0.0110380727	-0.0129627877	-0.0289740988	0.0196353904	-0.0091203355	-0.0112686302	0.0191410494	0.0214263335	-0.0271193670	0.0109352788
-0.0003365804	-0.0019515540	0.0268413552	0.0192832967	-0.0172450130	-0.0042401635	0.0376526634	0.0311453499	-0.0000943644	0.0186350472
-0.0116909271	0.0001445480	-0.0171498185	0.0215473202	0.0305659300	0.0193311273	0.0084779747	0.0316819769	0.0170876778	0.0053170667
0.0010655176	-0.0051797849	-0.0109270911	-0.0190546106	-0.0202496937	0.0272290501	-0.0308726256	0.0146099865	0.0178204791	-0.0110599936
-0.0090850272	-0.0029182254	0.0058484780	-0.0158939770	0.0277670628	0.0063943479	-0.0384061537	0.0042798577	0.0063477620	-0.0064571230
-0.0143869684	0.0002850101	-0.0256262706	-0.0131002028	-0.0281546719	-0.0200357640	-0.0244735608	0.0045620426	-0.0102884494	-0.0138607440
-0.0057627175	0.0029220551	0.0140871536	-0.0512974282	-0.0053662888	-0.0227425630	0.0141077648	-0.0000476890	-0.0150368396	-0.0106982692
-0.0118843106	0.0069600246	-0.0367518237	-0.0037004135	-0.0011595331	-0.0055597032	0.0377151442	0.0058548865	-0.0070497834	-0.0004913401
-0.0177094444	0.0048318602	0.0095679483	-0.0240406000	-0.0173684628	0.0323096355	0.0141795149	0.0015443272	-0.0076762695	0.0002398636
-0.0091253188	0.0039985310	-0.0161024696	-0.0299841003	0.0340005039	0.0122109729	-0.0118285964	-0.0009330346	-0.0176042186	-0.0055987436
-0.0058284692	0.0133215374	-0.0230102006	-0.0153421717	-0.0242942301	-0.0140054436	-0.0327194656	-0.0103105446	0.0001536629	-0.0005472503
-0.0223936653	0.0139847782	0.0251301631	-0.0135614019	0.0002426509	-0.0266189863	0.0223575132	0.0010763412	-0.0027910968	0.0105683463
-0.0140195642	0.0136522441	-0.0372438892	0.0023186162	0.0226508837	0.0149828027	0.0336112448	-0.0065276145	0.0121289962	0.0147278675
-0.0055162998	0.0129042314	-0.0089108554	-0.0230528826	-0.0192575385	0.0394866483	-0.0195464860	-0.0226222737	0.0068018907	0.0028720557
-0.0182769508	0.0099523091	0.0220280015	-0.0080228653	0.0203880139	-0.0082987515	-0.0273732395	-0.0182025309	-0.0004929776	0.0125793445
-0.0126937900	0.0038832944	-0.0369761902	0.0100982674	-0.0159554304	-0.0058981962	0.0296764508	-0.0048475028	-0.0041025260	0.0103480032
-0.0014837953	0.0002447720	0.0074933216	-0.0300896588	-0.0151927728	0.0432668533	0.0264482917	-0.0050523829	0.0005950805	0.0081546329
-0.0079904913	-0.0002150524	-0.0076920317	-0.0015129475	0.0359968807	0.0217505725	-0.0207453800	-0.0144474921	0.0043916104	0.0135579492
-0.0105245399	-0.0035355955	-0.0058714451	0.0037153696	-0.0321051019	-0.0102441763	-0.0425361665	-0.0180567633	-0.0070394230	0.0106666459
-0.0023316110	-0.0090502623	0.0270970095	-0.0261324729	-0.0043550485	-0.0352520462	0.0179416318	-0.0027677224	-0.0224965077	0.0079944353
0.0059937067	-0.0089378853	-0.0343895661	-0.0006999168	0.0314939488	0.0166838898	0.0275076843	0.0013557705	-0.0085298615	0.0147796917
0.0028129292	-0.0039309646	-0.0039263685	0.0006019726	-0.0242771090	-0.0036993616	-0.0293959523	-0.0166375405	0.0240126688	0.0168066417
-0.0049979371	-0.0066119543	0.0294427842	-0.0143589143	0.0053728073	-0.0299969867	0.0255826385	0.0003174748	0.0106293861	0.0193847602
0.0125330747	-0.0153129589	-0.0383205494	-0.0050802160	0.0273215366	0.0081911671	0.0315273335	-0.0002678071	0.0090180617	0.0121659236
0.0157116790	-0.0190471371	-0.0068808841	-0.0048161826	-0.0205899295	0.0147895932	-0.0406460069	-0.0133171915	0.0098128169	0.0187603401
0.0046240996	-0.0167535564	0.0303635407	-0.0038615282	0.0075015669	-0.0255767486	0.0015255102	0.0014872701	-0.0047565952	0.0304183288
0.0095075305	-0.0034286568	-0.0372226535	0.0038947774	0.0200587909	0.0095536720	0.0296054984	0.0046299394	0.0066702744	0.0190390241
0.0248786025	-0.0004425152	-0.0062732395	-0.0028677555	-0.0227656993	0.0162140144	-0.0279120253	-0.0109191090	0.0098040276	0.0113744674
0.0024891688	0.0012166045	0.0323747536	-0.0019553660	-0.0003943197	-0.0241702418	0.0148745589	-0.0020987627	0.0059736396	0.0187663662
0.0049301074	-0.0032714907	-0.0258120015	0.0188658315	0.0256366156	0.0123247977	0.0254775704	0.0058329249	0.0191315759	0.0227227168
0.0220917084	-0.0134645148	-0.0030748746	0.0012588913	-0.0165882451	0.0174527924	-0.0442963317	-0.0002235314	0.0187148142	0.0076509064
0.0095680266	-0.0129669390	0.0298863166	-0.0125859833	0.0093495682	-0.0297638786	-0.0237403501	0.0108353125	0.0106519952	-0.0024765573
0.0147026850	-0.0157113173	-0.0148374937	0.0409984053	-0.0166633751	-0.0223413725	0.0174280688	0.0396680823	0.0194739694	0.0205260430
0.0239524331	-0.0213488026	0.0170724521	0.0000525937	-0.0186722459	0.0333999935	0.0080772466	0.0377532827	0.0018583810	0.0069619792
0.0269262211	-0.0121863726	0.0192866296	-0.0070216810	0.0338904474	-0.0046642166	-0.0454062079	0.0178594585	0.0001964407	-0.0013994743
0.0167593981	-0.0048948103	-0.0054985419	0.0310785763	-0.0278041714	-0.0330486103	-0.0113380631	0.0198653315	0.0075892504	0.0122204933
0.0204608978	-0.0076034075	0.0195277072	-0.0147495524	-0.0198788541	0.0148564617	0.0175966166	0.0193274535	-0.0029559056	0.0002584456
0.0200026427	-0.0047494272	-0.0125949441	-0.0069398211	0.0311321067	0.0177441162	-0.0165527911	0.0067447075	-0.0017651664	-0.0065670732
0.0093056753	-0.0010402449	-0.0060832555	0.0049638270	-0.0250724743	-0.0108134398	-0.0400556241	-0.0038769964	0.0093320167	-0.0005933123
0.0138783565	-0.0015384172	0.0229649111	-0.0293637198	-0.0054393222	-0.0376033570	0.0154727020	0.0138920921	-0.0194789486	-0.0137187088
0.0102092336	0.0074303676	-0.0260891035	-0.0044309507	0.0336836694	0.0195900979	0.0189835568	0.0143326439	0.0014604735	-0.0101506015
-0.0031238941	0.0164456345	-0.0025011530	0.0001019863	-0.0273931923	-0.0100147258	-0.0395512437	-0.0058581884	0.0144971952	-0.0135369334
0.0092329734	0.0145139119	0.0237616895	-0.0260511249	-0.0060855331	-0.0349243880	0.0134859368	0.0030416716	-0.0006154295	-0.0144830466
0.0128049940	0.0152963976	-0.0297663450	-0.0037543195	0.0236179158	0.0102882526	0.0325244553	0.0021431437	0.0074485632	-0.0182953815
0.0054828601	0.0138133523	-0.0037736186	-0.0071545317	-0.0146654965	0.0166565708	-0.0225218579	-0.0122772958	0.0384659699	-0.0050117829
0.0017807693	0.0082837437	0.0219317638	-0.0173749366	0.0227037011	-0.0322431289	-0.0200023286	-0.0081370939	0.0051086313	-0.0099483916
0.0183466239	0.0101270312	-0.0308779323	-0.0035642367	-0.0064920922	-0.0113281681	0.0157764207	0.0001962542	-0.0068099806	-0.0107145649
0.0071029121	0.0161871204	0.0144943465	-0.0161273824	-0.0099372397	-0.0169935313	0.0391461095	0.0051472547	-0.0063019207	-0.0064678979
0.0003786793	0.0252190241	-0.0260710435	0.0011615353	0.0211628643	0.0162898778	0.0340414957	0.0037571000	0.0147740817	-0.0106737968
0.0119400527	0.0192181563	-0.0045331152	-0.0188035071	-0.0085361124	0.0427397017	-0.0073355397	-0.0060587776	0.0063345790	-0.0283425703
0.0124835410	0.0251483071	0.0108265475	-0.0149966651	0.0275170078	0.0146008013	-0.0343046264	-0.0059301710	0.0135159874	-0.0271828021
0.0020993803	0.0260142213	-0.0155951120	0.0040663975	-0.0248368600	-0.0340708024	-0.0029434119	0.0025199846	0.0157218698	-0.0298851734
0.0104755330	0.0186452068	0.0058967108	-0.0275419334	-0.0154151484	0.0271215551	0.0337930134	0.0018680968	0.0270433365	-0.0359340441
0.0024568558	0.0125123540	-0.0030588541	-0.0153666619	0.0355476037	0.0055819237	-0.0225914973	-0.0173716647	0.0310687571	-0.0365604727
-0.0089104485	-0.0000704386	-0.0103084031	0.0001906022	-0.0242057754	-0.0367220730	-0.0181106744	-0.0140013330	0.0202880879	-0.0174619833
-0.0112249776	-0.0147951021	0.0186392825	-0.0233356454	-0.0039716402	-0.0250381701	0.0254214543	0.0029466940	0.0002705390	-0.0147134255
0.0026904463	-0.0168070931	-0.0345322387	-0.0029255413	0.0087530287	-0.0013440351	0.0382450329	0.0132864638	0.0036755618	-0.0140653906
-0.0073562500	-0.0109973149	0.0038528182	0.0000561376	-0.0102701633	0.0331032051	0.0112888036	0.0137885047	0.0278398364	0.0012521372
-0.0113609668	-0.0090845036	0.0035540852	-0.0009268606	0.0364777902	0.0017429312	-0.0331058535	0.0113068158	0.0172561596	-0.0074662434
0.0012261552	-0.0104869180	-0.0205747905	0.0091941161	-0.0204335820	-0.0244264344	-0.0085507585	0.0211912115	-0.0022632136	-0.0170030620
0.0019027755	-0.0062109358	0.0173682383	-0.0040387065	-0.0173136269	0.0171708180	0.0356089213	0.0282655139	0.0160021836	-0.0107572807
-0.0083768514	-0.0042159449	0.0040426266	0.0187823524	0.0360105772	0.0213802911	-0.0257243228	0.0101866497	0.0195441128	-0.0059626652
-0.0078896958	-0.0158631256	-0.0138351341	0.0207496280	-0.0263481101	-0.0216220405	-0.0119859939	0.0219507164	-0.0103818212	-0.0201039164
-0.0036859794	-0.0168584641	0.0136693321	-0.0094131994	-0.0166106257	0.0346096574	0.0177868451	0.0201907159	0.0088130133	-0.0090606009
-0.0093471652	-0.0147001541	0.0238087991	0.0019319606	0.0301462849	-0.0146424108	-0.0284442596	0.0058823407	-0.0026858080	-0.0057756890
-0.0114956436	-0.0081011517	-0.0252265032	0.0325042559	-0.0099585485	-0.0165783308	0.0333754780	0.0113459428	-0.0126434688	0.0091449547
-0.0109554996	-0.0111826127	0.0026685770	-0.0012647697	-0.0192020990	0.0368597994	-0.0210000949	-0.0098739217	-0.0110589392	-0.0047445895
-0.0065780647	-0.0071762717	0.0322413549	-0.0182864365	0.0031324952	-0.0318996952	0.0047514841	-0.0098778313	-0.0272877397	-0.0046722055
-0.0131799717	-0.0045410913	-0.0219057275	0.0217788268	0.0239810222	0.0198365771	0.0200338556	-0.0100708781	-0.0228780732	0.0127598591
-0.0117432946	-0.0072564961	0.0000583977	0.0053989753	-0.0287416117	-0.0035282095	-0.0426557246	-0.0252753246	-0.0318534703	0.0061563380
-0.0065052180	-0.0099604043	0.0246164091	-0.0225605418	-0.0026142227	-0.0262068792	0.0255473971	-0.0129508711	-0.0413604341	0.0052460741
-0.0060705313	-0.0030181342	-0.0201000880	0.0138151218	0.0326759298	0.0198551856	0.0146438990	-0.0134687542	-0.0306205663	0.0137153355
-0.0105782774	-0.0007166824	-0.0016694753	0.0095559240	-0.0293658541	-0.0090074699	-0.0433818301	-0.0319845621	-0.0228541969	0.0109505814
-0.0123072631	-0.0016736158	0.0281698213	-0.0152017015	-0.0069470405	-0.0279841060	0.0265675530	-0.0113961425	-0.0429968168	0.0058602738
-0.0020527096	0.0048771655	-0.0261073657	-0.0000743210	0.0376262673	0.0267367332	0.0106616465	-0.0135006713	-0.0341955469	0.0004453994
-0.0114902569	0.0120871767	-0.0064780466	-0.0002398639	-0.0235615222	-0.0199601732	-0.0258989607	-0.0293626064	-0.0042671664	0.0000464377
-0.0163171440	0.0107536360	0.0299774005	-0.0092131106	-0.0022586702	-0.0108149029	0.0287712861	-0.0092292549	-0.0157779577	0.0150674552
-0.0043565950	0.0060547126	-0.0269929815	0.0008498803	0.0273748132	0.0211840235	0.0233890336	-0.0131734153	-0.0204916535	0.0064256840
-0.0098872333	0.0131510582	-0.0081512051	-0.0035005992	-0.0131026757	0.0178222482	-0.0260398973	-0.0282009328	-0.0008541594	0.0048953001
-0.0097882153	0.0174982789	0.0248996307	-0.0205673579	0.0121285178	-0.0247017155	0.0083303030	-0.0156899871	-0.0121036622	0.0002691648
0.0036951376	0.0202798727	-0.0385578612	0.0002283454	0.0161884559	0.0089912713	0.0407536000	-0.0059871492	-0.0127766724	-0.0111250829
-0.0016311450	0.0212743332	-0.0001789143	0.0003119380	-0.0150352167	0.0300342023	-0.0235619000	-0.0181197671	0.0034480043	-0.0030764523
-0.0106014145	0.0251963143	0.0278476872	-0.0087819537	0.0098397459	-0.0202341534	0.0113985600	-0.0107518727	-0.0051622158	-0.0007434410
-0.0072285990	0.0210323178	-0.0336318956	0.0049511892	0.0288723742	0.0146112240	0.0360056840	-0.0070228450	0.0051585380	-0.0091809963
0.0013749483	0.0169528165	-0.0128482124	-0.0078543259	-0.0234603761	0.0078932722	-0.0291120605	-0.0181880508	0.0045876876	-0.0175807801
-0.0148340838	0.0131267605	0.0282608795	-0.0107770103	-0.0073706908	-0.0238397878	0.0290529965	-0.0056565657	-0.0080306900	-0.0023396011
-0.0089785038	0.0138921725	-0.0292104633	0.0131051179	0.0211918084	0.0206685261	0.0412162992	-0.0037767522	0.0030297068	0.0093192643
-0.0013471015	0.0047464686	-0.0032189561	-0.0138950130	-0.0191455918	0.0389578833	-0.0245754830	-0.0197748714	-0.0041734718	-0.0059271334
-0.0022541042	0.0098881694	0.0319084199	-0.0127294892	0.0072536847	-0.0266753678	-0.0179001591	-0.0116612833	-0.0126537903	0.0038965440
-0.0124429807	0.0142414149	-0.0163756233	0.0343785653	-0.0012552888	-0.0028607611	0.0279014024	0.0039223569	-0.0143936498	0.0153696664
-0.0048766432	0.0127399118	0.0051860276	0.0067795378	-0.0166968162	0.0370543788	-0.0354589079	-0.0037885031	0.0036757480	-0.0092243611
-0.0060539361	0.0087386548	0.0314567739	-0.0051980265	0.0041045862	-0.0272288514	-0.0021161249	0.0061909549	0.0029771198	-0.0158435583
0.0107184749	0.0088159269	-0.0245459056	0.0114877728	0.0198410819	0.0204716736	0.0084011379	0.0048017005	0.0270338185	-0.0239792742
-0.0038569435	-0.0098006241	-0.0008115271	0.0034012898	-0.0234546488	0.0002888580	-0.0423107173	0.0056147783	0.0072283219	-0.0111510128
-0.0019073563	-0.0183785656	0.0339094242	-0.0075524036	0.0043542883	-0.0262174529	0.0081819726	0.0262496533	-0.0221481478	0.0043892991
0.0037501231	-0.0089176947	-0.0275762095	0.0107200338	0.0296083941	0.0143515019	0.0230042262	0.0298085844	-0.0156344781	0.0010230766
0.0051749276	0.0027270062	-0.0022557303	0.0165448231	-0.0253960126	-0.0084258046	-0.0481590440	0.0156434560	0.0134734705	0.0042658885
-0.0077839787	0.0040122779	0.0336935603	0.0105905420	-0.0112380772	-0.0107769424	0.0401155997	0.0333095712	0.0069805815	0.0123429716
-0.0018134512	0.0076488702	-0.0085806859	0.0108477204	0.0431371045	0.0269809598	-0.0175644460	0.0106714431	0.0195427047	0.0087645263
0.0020026831	0.0095894125	-0.0130273342	0.0172793918	-0.0262478782	-0.0390163590	-0.0083126102	0.0051809933	-0.0042682520	-0.0101190415
0.0005564009	0.0089523486	0.0155587106	0.0105968941	-0.0132146189	0.0293989119	0.0188131853	-0.0015071390	0.0420914683	0.0131726184
-0.0125713869	-0.0045281257	0.0275400054	0.0219581716	0.0150514282	-0.0188463854	-0.0092150964	-0.0161081211	0.0080210654	0.0104982112
-0.0115879375	-0.0171832306	-0.0240270188	0.0395047779	0.0093339578	0.0100814982	0.0306248202	-0.0067226344	0.0278666747	0.0258844491
0.0001550840	-0.0370184917	-0.0019546701	0.0081591396	-0.0311127493	0.0099200363	-0.0214761304	-0.0126690133	0.0060049808	0.0021070482
-0.0020603778	-0.0422404712	0.0291477293	-0.0039757982	-0.0213196502	0.0127021557	0.0082831942	0.0044760563	0.0103147323	0.0098219841
-0.0103232530	-0.0447295963	0.0201296950	0.0133269690	0.0270286824	-0.0096213641	0.0001769335	-0.0021556213	0.0096744689	0.0162148309
-0.0144558290	-0.0436336885	-0.0238220790	0.0298279163	0.0218537218	0.0079115430	0.0135099127	0.0090218518	0.0009826631	0.0239910645
0.0025679507	-0.0403869272	-0.0156413083	0.0119343500	-0.0305931325	0.0051994426	-0.0183866585	-0.0019535313	-0.0057969482	0.0090912049
-0.0057092250	-0.0339831003	0.0266584382	-0.0019206099	-0.0280529949	0.0345769186	0.0050685770	0.0061738806	-0.0219922863	0.0142405242
-0.0012896495	-0.0250921800	0.0309951819	0.0013618304	0.0188004709	-0.0235514620	-0.0094857707	0.0031880874	-0.0051300254	0.0270692144
-0.0167924280	-0.0240721902	-0.0115000606	0.0431484040	0.0288398949	0.0125619180	0.0175109557	0.0156227213	-0.0282568693	0.0243579633
-0.0165009964	-0.0201682091	-0.0040659867	0.0245471312	-0.0316846782	-0.0077711818	-0.0487045366	0.0066357360	-0.0256601078	0.0169905796
-0.0075101774	-0.0170738308	0.0287185437	-0.0022322397	-0.0219481743	0.0111876964	0.0244692310	0.0248580123	-0.0373177850	0.0094796812
-0.0087673223	-0.0030100813	0.0188881169	0.0008081350	0.0339196849	-0.0081892083	-0.0289604909	0.0110557643	-0.0136515402	0.0055688920
-0.0050187104	0.0050486033	-0.0177688804	0.0390353837	0.0038699895	-0.0088887094	0.0343899512	0.0244571274	-0.0214152845	0.0093207293
-0.0041355955	0.0089525877	0.0190355490	0.0445122303	-0.0244138585	0.0222161379	-0.0486267148	0.0012612592	0.0141350117	0.0248530403
-0.0006060176	0.0090467371	0.0459553402	0.0098112824	-0.0123275211	-0.0353594763	0.0160679010	0.0245398537	-0.0313025499	0.0084521493
0.0003756071	0.0163151770	-0.0066450842	0.0352846387	0.0424431881	0.0305923958	-0.0068531290	0.0198733563	-0.0079867197	0.0213403315
0.0028283834	0.0217865395	0.0068634539	0.0443280267	-0.0332238112	-0.0353317620	-0.0281865438	0.0162708687	-0.0103979208	0.0078928890
-0.0095537025	0.0181867881	0.0369386590	0.0474442796	-0.0137838302	0.0267046973	0.0183114515	0.0245440474	0.0365782918	0.0300318229
0.0001605724	0.0087204553	0.0423050927	0.0193207770	0.0270229658	-0.0239668725	-0.0272083279	0.0121752806	0.0053310442	0.0056662865
-0.0047598401	0.0039775556	-0.0245990022	0.0467406209	0.0085574086	-0.0022753505	0.0278234865	0.0305937996	0.0123908385	0.0119500717
0.0381193440	0.0009956451	0.0049505592	-0.0030269026	-0.0207005891	0.0139026565	-0.0419025313	-0.0034275546	0.0292298243	-0.0273157123
0.0306432183	-0.0111703199	0.0122668634	-0.0217129633	0.0166132915	-0.0230448356	-0.0235037215	0.0159248450	0.0028277604	-0.0293671047
0.0290395244	-0.0125645162	-0.0196785965	-0.0132175200	-0.0176199211	-0.0060152818	-0.0291684018	0.0233270996	-0.0259035929	-0.0259738771
0.0367050717	0.0089445745	0.0199047921	-0.0271359430	-0.0079952384	-0.0145593487	0.0212966130	0.0322092948	-0.0244909020	-0.0114565044
0.0305325872	0.0288928980	-0.0142363590	-0.0061028765	0.0379751168	0.0193459394	-0.0015528095	0.0239703061	-0.0301250804	-0.0259980917
0.0345464446	0.0423759488	-0.0133958874	0.0154152373	-0.0188862111	-0.0234553063	-0.0224013319	0.0037837324	0.0263263903	-0.0142660429
0.0124469066	0.0399675402	0.0112207944	0.0048321073	-0.0159948983	0.0152995712	-0.0048460007	-0.0047349643	0.0356157046	-0.0118025360
0.0224978683	0.0313478696	0.0241735375	-0.0195373975	0.0011891242	-0.0289260528	0.0032345510	-0.0192986185	0.0477736634	-0.0111001459
0.0174544247	0.0161329339	-0.0138586484	-0.0010483056	0.0343283065	0.0104425211	0.0094289782	-0.0264910074	0.0150974357	-0.0228699214
0.0131751114	-0.0024596441	-0.0153915470	-0.0000803557	-0.0190953064	-0.0450679322	-0.0260782938	-0.0325514270	0.0324370533	-0.0129540832
-0.0073173680	-0.0212357807	0.0107807484	-0.0094051686	-0.0145473585	0.0034405589	0.0544594321	-0.0053642042	0.0266284420	0.0043346250
0.0069299846	-0.0343733049	-0.0071798311	-0.0219507479	0.0380076771	0.0076171448	-0.0230489799	-0.0155659958	0.0249392886	-0.0018440290
0.0132244141	-0.0276944359	-0.0394328340	-0.0089588976	-0.0187100207	-0.0199423628	0.0241644084	0.0021432888	-0.0000065456	-0.0171874058
0.0156004826	-0.0162392497	-0.0021766009	-0.0318145020	-0.0185573701	0.0460008434	-0.0079202609	-0.0036046923	0.0189545123	-0.0148238420
0.0107344021	-0.0093245150	0.0134774793	-0.0176424675	0.0157895961	-0.0097007423	0.0015928351	-0.0064707736	0.0114392708	-0.0095654864
0.0098314288	-0.0075712297	-0.0307580024	0.0026857566	0.0233555065	0.0108104926	0.0266748325	-0.0026297062	0.0227048925	-0.0036954191
0.0180629693	-0.0088456177	-0.0310306680	-0.0141778877	-0.0192373539	-0.0090472845	-0.0017256838	-0.0162658628	0.0180867806	-0.0247313015
0.0128428225	-0.0100811692	0.0067107591	-0.0295644991	-0.0220554521	0.0336915906	0.0146725494	-0.0110707899	0.0172178010	-0.0153993079
-0.0025133558	-0.0097888641	0.0077299862	-0.0178254740	0.0287608550	0.0008679584	-0.0192250636	-0.0179691134	0.0248631786	0.0021704944
-0.0022336121	-0.0158282858	-0.0343236578	-0.0116387855	-0.0114194643	-0.0084831999	0.0095746510	-0.0009703800	-0.0178421073	-0.0191808120
