component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
a_comp_cor_00	CSF	230.8654324495	0.0740632092	0.0740632092	True
a_comp_cor_01	CSF	177.0148152551	0.0435415552	0.1176047645	True
a_comp_cor_02	CSF	159.8046512225	0.0354865301	0.1530912946	True
a_comp_cor_03	CSF	127.5375764131	0.0226027366	0.1756940313	True
a_comp_cor_04	CSF	127.1302292073	0.0224585837	0.1981526150	True
a_comp_cor_05	CSF	123.9248970844	0.0213403648	0.2194929798	True
a_comp_cor_06	CSF	117.1697649394	0.0190772523	0.2385702320	True
a_comp_cor_07	CSF	112.6837455095	0.0176444146	0.2562146466	True
a_comp_cor_08	CSF	102.2488166137	0.0145278480	0.2707424946	True
a_comp_cor_09	CSF	96.0233441033	0.0128126322	0.2835551267	True
a_comp_cor_10	CSF	91.9135644895	0.0117393465	0.2952944733	True
a_comp_cor_11	CSF	90.5607408274	0.0113963201	0.3066907933	True
a_comp_cor_12	CSF	84.5205562814	0.0099268029	0.3166175962	True
a_comp_cor_13	CSF	81.0803282373	0.0091351504	0.3257527466	True
a_comp_cor_14	CSF	79.3049193642	0.0087394673	0.3344922139	True
a_comp_cor_15	CSF	78.5762923722	0.0085796144	0.3430718283	True
a_comp_cor_16	CSF	75.0191074154	0.0078203914	0.3508922197	True
a_comp_cor_17	CSF	73.7891689821	0.0075660628	0.3584582826	True
a_comp_cor_18	CSF	71.3717827691	0.0070784439	0.3655367265	True
a_comp_cor_19	CSF	70.6482564964	0.0069356569	0.3724723834	True
a_comp_cor_20	CSF	69.9725073299	0.0068036126	0.3792759960	True
a_comp_cor_21	CSF	66.6186906512	0.0061670418	0.3854430378	True
a_comp_cor_22	CSF	65.0541094852	0.0058807698	0.3913238076	True
a_comp_cor_23	CSF	64.6301090418	0.0058043619	0.3971281695	True
a_comp_cor_24	CSF	64.0760695181	0.0057052730	0.4028334425	True
a_comp_cor_25	CSF	62.8761670150	0.0054935973	0.4083270398	True
a_comp_cor_26	CSF	61.3250679755	0.0052258962	0.4135529360	True
a_comp_cor_27	CSF	60.6519409365	0.0051118030	0.4186647391	True
a_comp_cor_28	CSF	59.6843914111	0.0049500119	0.4236147510	True
a_comp_cor_29	CSF	59.0499994388	0.0048453427	0.4284600937	True
a_comp_cor_30	CSF	58.7572238111	0.0047974145	0.4332575082	True
a_comp_cor_31	CSF	58.1760905718	0.0047029869	0.4379604951	True
a_comp_cor_32	CSF	57.1095706973	0.0045321314	0.4424926266	True
a_comp_cor_33	CSF	56.4443629231	0.0044271665	0.4469197931	True
a_comp_cor_34	CSF	55.8924864671	0.0043410178	0.4512608109	True
a_comp_cor_35	CSF	55.6616657308	0.0043052374	0.4555660482	True
a_comp_cor_36	CSF	55.1278340543	0.0042230533	0.4597891016	True
a_comp_cor_37	CSF	54.9366479219	0.0041938126	0.4639829141	True
a_comp_cor_38	CSF	54.5437614176	0.0041340419	0.4681169560	True
a_comp_cor_39	CSF	54.0921699422	0.0040658702	0.4721828263	True
a_comp_cor_40	CSF	53.9023618599	0.0040373862	0.4762202125	True
a_comp_cor_41	CSF	53.4883202026	0.0039755995	0.4801958119	True
a_comp_cor_42	CSF	53.4408798348	0.0039685504	0.4841643624	True
a_comp_cor_43	CSF	53.1635449150	0.0039274672	0.4880918296	True
a_comp_cor_44	CSF	52.8257373785	0.0038777146	0.4919695442	True
a_comp_cor_45	CSF	52.5020906119	0.0038303451	0.4957998892	True
a_comp_cor_46	CSF	52.2636253299	0.0037956291	0.4995955184	True
a_comp_cor_47	CSF	51.9177004954	0.0037455500	0.5033410684	True
dropped0	CSF	51.6382084792	0.0037053312	0.5070463996	False
dropped1	CSF	51.3195648908	0.0036597434	0.5107061430	False
dropped2	CSF	51.2292835750	0.0036468783	0.5143530213	False
dropped3	CSF	51.0090274528	0.0036155868	0.5179686081	False
dropped4	CSF	50.7642820399	0.0035809743	0.5215495824	False
dropped5	CSF	50.4492050891	0.0035366604	0.5250862428	False
dropped6	CSF	50.0607891650	0.0034824115	0.5285686543	False
dropped7	CSF	49.9737456341	0.0034703119	0.5320389662	False
dropped8	CSF	49.9031352793	0.0034605121	0.5354994783	False
dropped9	CSF	49.7206918891	0.0034352554	0.5389347337	False
dropped10	CSF	49.6214830748	0.0034215602	0.5423562939	False
dropped11	CSF	49.4237544259	0.0033943465	0.5457506404	False
dropped12	CSF	49.1099324995	0.0033513777	0.5491020181	False
dropped13	CSF	49.0528646953	0.0033435934	0.5524456115	False
dropped14	CSF	48.7391167435	0.0033009581	0.5557465696	False
dropped15	CSF	48.5571137330	0.0032763511	0.5590229207	False
dropped16	CSF	48.4042387931	0.0032557533	0.5622786740	False
dropped17	CSF	48.2756388124	0.0032384766	0.5655171506	False
dropped18	CSF	48.1982074099	0.0032280963	0.5687452469	False
dropped19	CSF	48.0406460198	0.0032070253	0.5719522722	False
dropped20	CSF	47.8028994071	0.0031753616	0.5751276337	False
dropped21	CSF	47.6915625598	0.0031605874	0.5782882211	False
dropped22	CSF	47.6378727398	0.0031534752	0.5814416964	False
dropped23	CSF	47.4852575725	0.0031333023	0.5845749987	False
dropped24	CSF	47.2824149793	0.0031065905	0.5876815892	False
