global_signal	csf	white_matter	csf_wm	tcompcor
10395.328661782418	13517.431218804253	10155.793301868089	10751.216919334409	8837.535354299102
10337.459106035933	13171.770663113064	10161.44645487509	10707.275478065687	8747.49560714958
10308.391403420126	13028.7925523546	10145.426933876408	10692.006386282961	8513.57321235276
10298.248035057055	12967.816118706598	10142.450781130567	10680.343211030035	8609.573905616537
10313.826112944666	12944.051886664496	10166.951032337634	10694.085369807608	8452.907492658973
10324.235645881226	12891.476287163629	10169.11363964804	10687.235929265295	8427.94247026821
10338.025528004966	12908.478147379557	10173.873216768212	10690.536722895651	8581.871129704014
10348.544087101389	12986.700579155817	10197.186020923837	10716.616562893341	8556.336203649
10354.565710134786	12937.071139187283	10193.741752664944	10707.120306217854	8612.591527154236
10354.708304588687	12990.233019341364	10189.043964023644	10712.766567392717	8690.620013816426
10345.573196517924	13029.463403998481	10189.830173472215	10720.779552900767	8758.597080565565
10331.879928576715	12980.268069797092	10178.158454332068	10705.686834078324	8631.564236350396
10321.751947511922	12967.10307888455	10163.072060001465	10687.487668528483	8714.263192785791
10315.53059211275	12976.739205593532	10166.448120166951	10693.666129453533	8569.798344466033
10323.706584332704	12934.105811903211	10170.888533133853	10691.872604153461	8572.74548077214
10336.492260446768	12962.671026611328	10173.469871474343	10694.039552125403	8656.185492169221
10346.091981717082	12992.862632242839	10177.724281332807	10701.226036936192	8656.260315309088
10345.475098209416	12999.043692355686	10177.886772295722	10699.590440836895	8637.51431626338
10342.061371329974	12986.715112304688	10174.073326288122	10697.68162746645	8752.254150364362
10337.145977494005	13019.89203830295	10177.406207800397	10705.508245458745	8697.457344672355
10326.30874883063	12972.367623562282	10174.432144332992	10698.725512858025	8628.09775331796
10322.017499079746	12951.849203152127	10166.263669884453	10692.928666721942	8722.60372688438
10319.328717798673	12975.104769558377	10172.83079601588	10706.524368149065	8705.789314677095
10319.581899509603	12933.025483534071	10180.59212163279	10703.8479963207	8634.138162084373
10315.105148262472	12915.067651706271	10164.295565617993	10688.45688219051	8698.262408008673
10308.144919508188	12953.049184502495	10160.475817637205	10688.7088389235	8639.961553104158
10308.253037673216	12909.2990234375	10170.140363840195	10691.938940578251	8554.002311036837
10317.729233557515	12937.350165134007	10173.31530318822	10690.995310957762	8631.113852364677
10324.95798366063	12932.49194946289	10174.131428372943	10697.221793799012	8638.873693587653
10340.789425100036	12951.922182210286	10191.203523607095	10716.420383556171	8612.778402174195
10345.903710402867	12978.074326578777	10185.658986405359	10708.075520668262	8701.171879438443
10342.991994031438	13005.103476969402	10178.570652286422	10708.921576173572	8730.043309932322
10335.950830017598	13007.877175564236	10184.568104186837	10717.49386719599	8807.90009154223
10320.511755444759	12940.68156399197	10174.119100714526	10698.6975391955	8745.269823373083
10303.735371427725	12930.759373982748	10163.947478016396	10695.764436415056	8738.894778291042
10288.436079348485	12919.106932915582	10161.865724646797	10695.92893809935	8616.429629301245
10284.97925054681	12899.52638481988	10162.079614924645	10693.739192691826	8554.4948102521
10280.834095198645	12872.506125895183	10154.927045048475	10673.534517282129	8525.993928078735
10296.073398883982	12884.212372165257	10154.087561985643	10678.91492470338	8600.232699711023
10313.743928258693	12911.046062554253	10169.060326023779	10690.106310755715	8517.757482164288
10331.725137071731	12918.261893717448	10176.13012108101	10692.01738958986	8578.295834250786
10327.743412693455	12964.269105360243	10176.445718969757	10698.770756410053	8630.12739886023
10329.738826955678	12942.02851155599	10186.32422591597	10710.748167212063	8688.347152316017
10339.560737065989	12947.780951605902	10188.380774179575	10714.333828877725	8614.45070855671
10320.422076474855	12947.616708713107	10164.53712977811	10693.831186909705	8616.99155907951
10329.043958675433	12967.031787787544	10176.42421598314	10707.35281567503	8660.496371520367
10332.946664055695	12976.002262369791	10170.509683813507	10696.244719318223	8712.595772065311
10324.314171058762	12949.739881049261	10171.108648251186	10693.829507921164	8706.286884668978
10327.007672864067	12964.942642551	10164.185919405925	10688.780025476652	8672.293948674162
10337.988790198879	12931.118872070312	10180.82847354483	10699.51433772593	8664.435159180948
10339.531264511153	12934.520305040147	10167.698916087285	10688.495987632661	8748.692751229528
10333.619999410404	12962.933774820964	10168.021611073334	10696.611056252377	8739.957478035747
10337.416484139358	12919.914275444879	10187.984651287963	10707.693576774056	8778.321323283159
10335.240554662612	12915.847038438586	10179.32009801853	10703.044680776406	8747.773031306964
10325.534822852835	12947.435587565104	10171.814159817857	10697.479855391779	8710.658236951713
10324.949558357626	12905.202829318576	10176.915823935296	10699.692480723432	8696.138853299639
10322.416660582996	12901.499879964193	10169.255868929627	10686.256408992072	8719.109989711216
10314.97068241847	12917.697233072917	10158.568882988464	10682.04477033944	8726.65532701397
10311.786224333662	12892.68761054145	10176.307318406352	10699.839228835392	8696.698633768472
10315.695758483034	12922.440428331163	10173.87263075109	10693.691233773952	8697.363090213112
10318.383084175957	12898.303807237413	10177.567075372472	10695.334623838085	8641.347042799407
10314.524856001839	12934.309840901693	10171.357972659434	10695.981838654105	8761.206666247159
10311.718168681844	12951.667802598742	10183.126707093355	10709.672571837194	8692.83550515889
10310.918424429621	12908.349970838759	10182.5570858109	10704.29956670168	8674.039694964988
10309.732070710636	12893.773607042102	10169.163892308206	10694.680035423382	8626.436848940824
10320.20123518823	12941.95875447591	10171.101677454106	10700.127202500747	8652.324800947652
10332.13085465932	12934.862119547526	10173.72660559535	10700.239306909456	8709.333290769804
10327.407074045546	12933.827634006077	10173.482115728826	10695.238189989088	8737.353365715933
10321.51707015762	12989.355394829645	10170.654330017613	10704.461150795853	8720.267216956554
